
01206300210000X21        6849060611
01206300210000Z89       14696060611
01206300210000X33           0060611
01206300210000X30       14696060611
01206300210000X42           0060611
01206300210000Z84           0060611
01206300210000X35           0060611
01206300210000Z83           0060611
01206300210000X44           0060611
01206300210000X46           0060611
01206300210000X47           0060611
01206300210000Z82           0060611
01206300210000Z81       607010606AE
01206300210000Z78       39156060611
01206300210000Z77           0060611
01206300210000Z01         406060611
01206300210000Z02           0060611
01206300210000Z03         201060611
01206300210000Z04          17060611
01206300210000Z05          67060611
01206300210000Z06           0060611
01206300210000Z07           0060611
01206300210000Z08      481716060611
01206300210000Z09       23495060611
01206300210000Z10       57176060611
01206300210000Z11           0060611
01206300210000Z12           0060611
01206300210000Z74           00606NR
01206300210000V01           00606NR
01206300210000V02           00606NR
01206300210000V03           00606NR
01206300210000V04           00606NR
01206300210000V05           00606NR
01206300210000V07           00606NR
01206300210000Z71         6190606AE
01206300210000Z62           0060611
01206300210000Z63           0060611
01206300210000Z70           0060611
01206300210000Z13        7381060611
01206300210000Z14           00606NR
01206300210000Z15           00606NR
01206300210000Z16           00606NR
02000000001605X01       34946060612
02000000001605X02        6566060612
02000000001605Z99        7328060612
02000000001605V87           0060612
02000000001605X06        7328060612
02000000001605X05       84574060612
02000000001605Z98           0060612
02000000001605Z72       55989060612
02000000001605Z73       11678060612
02000000001605X08      3430720606AC
02000000001605Z97           00606NR
02000000001605Z96      235464060612
02000000001605Z95           0060612
02000000001605X11      281205060612
02000000001605X12        3832060612
02000000001605Z93       21761060612
02000000001605Z92           00606NR
02000000001605Z91           00606NR
02000000001605Z90           0060612
02000000001605Z88         371060612
02000000001605Z87           0060612
02000000001605Z68      3924940606AC
02000000001605X21      3928650606AC
02000000001605Z89      1328510606AD
02000000001605X33       687090606AD
02000000001605X30      2015600606AD
02000000001605X42          540606AC
02000000001605Z84           0060612
02000000001605X35         4940606AD
02000000001605Z83           0060612
02000000001605X44      8493100606AC
02000000001605X46      4201060606AD
02000000001605X47      4067220606AC
02000000001605Z82      8268280606AC
02000000001605Z81     47169350606AC
02000000001605Z78     15634170606AC
02000000001605Z77      8829010606AC
02000000001605Z76         663060612
02000000001605Z75        9172060612
02000000001605Z01        98350606AC
02000000001605Z02        34700606AC
02000000001605Z03        8768060612
02000000001605Z04          72060612
02000000001605Z05         509060612
02000000001605Z06           0060612
02000000001605Z07           0060612
02000000001605Z08    21530095060612
02000000001605Z09      201052060612
02000000001605Z10      653261060612
02000000001605Z11           0060612
02000000001605Z12           0060612
02000000001605Z74           00606NR
02000000001605V01           00606NR
02000000001605V02           00606NR
02000000001605V03           00606NR
02000000001605V04           00606NR
02000000001605V05           00606NR
02000000001605V07           00606NR
02000000001605Z71       39941060612
02000000001605Z62      4785490606AD
02000000001605Z63      4043520606AD
02000000001605Z70      8488160606AC
02000000001605Z13      281205060612
02000000001605Z14           0060612
02000000001605Z15           0060612
02000000001605Z16           0060612
02000000001608X01       45435060612
02000000001608X02       74131060612
02000000001608Z99      1352310606AC
02000000001608V87           0060612
02000000001608X06      1352310606AC
02000000001608X05      1371180606AC
02000000001608Z98           0060612
02000000001608Z72      165309060612
02000000001608Z73           0060612
02000000001608X08      9945520606AC
02000000001608Z97           00606NR
02000000001608Z96      708688060612
02000000001608Z95           0060612
02000000001608X11      592285060612
02000000001608X12           0060612
02000000001608Z93       26347060612
02000000001608Z92           00606NR
02000000001608Z91           00606NR
02000000001608Z90           0060612
02000000001608Z88         560060612
02000000001608Z87           0060612
02000000001608Z68       77514060612
02000000001608X21       78074060612
02000000001608Z89      242252060612
02000000001608X33     1250923060612
02000000001608X30     1493175060612
02000000001608X42           0060612
02000000001608Z84           0060612
02000000001608X35           0060612
02000000001608Z83           0060612
02000000001608X44     1540698060612
02000000001608X46      939999060612
02000000001608X47      875507060612
02000000001608Z82     1815506060612
02000000001608Z81     9581667060612
02000000001608Z78     3720294060612
02000000001608Z77      933920060612
02000000001608Z76       15816060612
02000000001608Z75       18844060612
