02200200110000V02           00303NR
02200200110000V03           00303NR
02200200110000V04           00303NR
02200200110000V05           00303NR
02200200110000V07           00303NR
02200200110000Z71        7504030311
02200200110000Z62       202920303AE
02200200110000Z63       63992030311
02200200110000Z70       51988030311
03000000007801X01       64871030312
03000000007801X02        3066030312
03000000007801Z99        3647030312
03000000007801V87           00303NR
03000000007801X06        3647030312
03000000007801X05       47153030312
03000000007801Z98           00303NR
03000000007801Z72       18761030312
03000000007801Z73        1608030312
03000000007801X08     -3597840303AC
03000000007801Z97           00303NR
03000000007801Z96       16346030312
03000000007801Z95           00303NR
03000000007801X11      209715030312
03000000007801X12        6423030312
03000000007801Z93        1250030312
03000000007801Z92           00303NR
03000000007801Z91      489688030312
03000000007801Z90           00303NR
03000000007801Z88           00303NR
03000000007801Z87           00303NR
03000000007801Z68      245687030312
03000000007801X21      245687030312
03000000007801Z89      113769030312
03000000007801X33      183576030312
03000000007801X30      297345030312
03000000007801X42           00303NR
03000000007801Z84        2304030312
03000000007801X35           00303NR
03000000007801Z83           00303NR
03000000007801X44        2304030312
03000000007801X46         445030312
03000000007801X47      211145030312
03000000007801Z82      211590030312
03000000007801Z81     37983190303AD
03000000007801Z78     2323385030312
03000000007801Z77      718008030312
03000000007801Z76        1253030312
03000000007801Z75       14277030312
03000000007801Z01       15530030312
03000000007801Z02         375030312
03000000007801Z03        4419030312
03000000007801Z04         912030312
03000000007801Z05         853030312
03000000007801Z06         287030312
03000000007801Z07           00303NR
03000000007801Z08    14618348030312
03000000007801Z09     2056854030312
03000000007801Z10     1770921030312
03000000007801Z11      837286030312
03000000007801Z12           00303NR
03000000007801Z74           00303NR
03000000007801V01           00303NR
03000000007801V02           00303NR
03000000007801V03           00303NR
03000000007801V04           00303NR
03000000007801V05           00303NR
03000000007801V07           00303NR
03000000007801Z71       93189030312
03000000007801Z62           00303NR
03000000007801Z63      718008030312
03000000007801Z70           00303NR
03000000009001X01      108603030312
03000000009001X02       33753030312
03000000009001Z99       336550303AC
03000000009001V87           0030312
03000000009001X06       336550303AC
03000000009001X05      1044450303AC
03000000009001Z98           0030312
03000000009001Z72      152431030312
03000000009001Z73       39894030312
03000000009001X08      4009620303AC
03000000009001Z97           0030312
03000000009001Z96           0030312
03000000009001Z95           0030312
03000000009001X11     1083342030312
03000000009001X12       49630030312
03000000009001Z93       67375030312
03000000009001Z92           0030312
03000000009001Z91       53264030312
03000000009001Z90           0030312
03000000009001Z88       13300030312
03000000009001Z87           0030312
03000000009001Z68     3205047030312
03000000009001X21     3218347030312
03000000009001Z89     3195497030312
03000000009001X33           0030312
03000000009001X30     3195497030312
03000000009001X42           0030312
03000000009001Z84           0030312
03000000009001X35           0030312
03000000009001Z83           0030312
03000000009001X44     23276230303AD
03000000009001X46           0030312
03000000009001X47       29079030312
03000000009001Z82       29079030312
03000000009001Z81    206624290303AC
03000000009001Z78    104917680303AC
03000000009001Z77     1400115030312
03000000009001Z76      2024990303AD
03000000009001Z75           0030312
03000000009001Z01      202499030312
03000000009001Z02      123588030312
03000000009001Z03       66440030312
03000000009001Z04        4561030312
03000000009001Z05           0030312
03000000009001Z06           0030312
03000000009001Z07           0030312
03000000009001Z08    857374920303AD
03000000009001Z09     45410070303AD
03000000009001Z10           0030312
03000000009001Z11           0030312
03000000009001Z12           0030312
03000000009001Z74           00303NR
03000000009001V01           00303NR
03000000009001V02           00303NR
03000000009001V03           00303NR
03000000009001V04           00303NR
03000000009001V05           00303NR
03000000009001V07           00303NR
03000000009001Z71      261901030312
03000000009001Z62     14001150303AD
03000000009001Z63           0030312
03000000009001Z70     23276230303AD
03000000090001X01        3283030312
03000000090001X02        1073030312
03000000090001Z99           00303NR
03000000090001V87           00303NR
03000000090001X06           00303NR
03000000090001X05         188030312
03000000090001Z98           00303NR
03000000090001Z72        1364030312
03000000090001Z73         121030312
03000000090001X08      -282200303AC
03000000090001Z97           00303NR
03000000090001Z96           00303NR
03000000090001Z95           00303AC
03000000090001X11       21930030312
03000000090001X12         115030312
03000000090001Z93         103030312
03000000090001Z92           00303NR
03000000090001Z91       36641030312
03000000090001Z90           00303NR
03000000090001Z88           00303NR
03000000090001Z87           00303NR
03000000090001Z68       11324030312
03000000090001X21       11324030312
03000000090001Z89        7452030312
03000000090001X33       16220030312
03000000090001X30       23672030312
