03000000009001X21      667177949471
03000000009001X30     3249318949471
03000000009001X33       477339494AD
03000000009001X40      502137949471
03000000009001X41     48938029494AD
03000000009001X42      2084479494AD
03000000009001X44      753511949471
03000000009001X46       221439494AD
03000000009001Z02       205939494AD
03000000009001Z03       31229949471
03000000009001Z04        1782949471
03000000009001Z05       113009494AD
03000000009001Z06        1015949471
03000000009001Z07         1219494AD
03000000009001Z08    24401382949471
03000000009001Z09     15003639494AD
03000000009001Z10     88294739494AD
03000000009001Z11     2380216949471
03000000009001Z12     10772289494AD
03000000009001Z68      6645989494MA
03000000009001Z72      1605379494MC
03000000009001Z73      3021479494MC
03000000009001Z76      154901949471
03000000009001Z77      3318079494AD
03000000009001Z78     54990689494AD
03000000009001Z79      5021379494AD
03000000009001Z81    102965359494BC
03000000009001Z82       221439494CT
03000000009001Z83      7535119494AD
03000000009001Z88        25799494AD
03000000009001Z89     32015859494MA
03000000009001Z93       348859494AD
03000000009001Z96      4990739494AD
03000000009001Z99       173689494MC
03000000090001X01        15099494AD
03000000090001X02         6759494MC
03000000090001X05        4930949471
03000000090001X06         6259494CT
03000000090001X08       10927949471
03000000090001X11        7877949471
03000000090001X12          62949471
03000000090001X21        8520949471
03000000090001X30       41618949471
03000000090001X33       18409949471
03000000090001X40       15510949471
03000000090001X41       72706949471
03000000090001Z01         710949471
03000000090001Z03         346949471
03000000090001Z04          12949471
03000000090001Z05          75949471
03000000090001Z08      5426389494AD
03000000090001Z09       395489494AD
03000000090001Z10       792269494AD
03000000090001Z12       623969494AD
03000000090001Z68        8515949471
03000000090001Z72        2754949471
03000000090001Z73        5546949471
03000000090001Z75         6299494MA
03000000090001Z76          819494MA
03000000090001Z77       15347949471
03000000090001Z78       84957949471
03000000090001Z79       15510949471
03000000090001Z81      138354949471
03000000090001Z88           59494AD
03000000090001Z89       23209949471
03000000090001Z91         8609494AD
03000000090001Z93          66949471
03000000090001Z96        3487949471
03000000090001Z99         6259494MA
03200701010000X01       12493949471
03200701010000X04       21496949471
03200701010000X08       41137949471
03200701010000X11       26070949471
03200701010000X12        2012949471
03200701010000X21       33873949471
03200701010000X30      224177949471
03200701010000X33      2241179494AD
03200701010000X40       86734949471
03200701010000X41      252480949471
03200701010000Z01        7354949471
03200701010000Z02         165949471
03200701010000Z03        1995949471
03200701010000Z04         131949471
03200701010000Z05         391949471
03200701010000Z06         395949471
03200701010000Z07           99494AD
03200701010000Z08     1875500949471
03200701010000Z09       88417949471
03200701010000Z10      255417949471
03200701010000Z11     1947000949471
03200701010000Z12       650009494AD
03200701010000Z68       33873949471
03200701010000Z72        5287949471
03200701010000Z73       19798949471
03200701010000Z77       859049494AD
03200701010000Z78      2760519494AD
03200701010000Z79       86734949471
03200701010000Z81      597264949471
03200701010000Z89          60949471
03200701010000Z93        1802949471
03200701010000Z96       16052949471
03201000210000X01        4701949471
03201000210000X04        7164949471
03201000210000X08       17990949471
03201000210000X11       10170949471
03201000210000X12         6089494AD
03201000210000X21        8870949471
03201000210000X30       54216949471
03201000210000X40        4876949471
03201000210000X41       90203949471
03201000210000X44       34849949471
03201000210000X47       143369494AD
03201000210000Z01        3287949471
03201000210000Z02          40949471
03201000210000Z03         855949471
03201000210000Z04          66949471
03201000210000Z05          99949471
03201000210000Z08      830559949471
03201000210000Z09        8475949471
03201000210000Z10        8475949471
03201000210000Z68        88299494AD
03201000210000Z72        9029949471
03201000210000Z79        4876949471
03201000210000Z81      207350949471
03201000210000Z82       14336949471
03201000210000Z83       348499494AD
03201000210000Z88          41949471
03201000210000Z89       54216949471
03201000210000Z93         887949471
03201000210000Z96        8961949471
03400702410000X08       31927949471
03400702410000X11       15399949471
03400702410000X21       33841949471
03400702410000X30       30038949471
03400702410000X33        3258949471
03400702410000X40       42203949471
03400702410000X41      170174949471
03400702410000X44       23284949471
03400702410000X47       26718949471
03400702410000Z01        4570949471
03400702410000Z03        1378949471
03400702410000Z05         229949471
