"Date","Region","Pension assets (millions)","Pension liabilities (millions)","Funding status (millions)","Assets as a percent of liabilities","Funding status as a percent of state GDP","Funding status as a percent of state revenue"
2005,"New Hampshire","5169.523","7200.219","-2030.696","71.797","-3.618","-22.790"
2005,"New Jersey","59136.588","119882.160","-60745.572","49.329","-13.652","-76.771"
2005,"New Mexico","19859.680","23102.683","-3243.003","85.963","-4.379","-19.470"
2005,"New York","331633.792","332167.715","-533.923","99.839","-0.052","-0.228"
2005,"North Carolina","67228.146","61303.876","5924.270","109.664","1.656","9.141"
2005,"North Dakota","3457.648","3457.433","0.215","100.006","0.001","0.004"
2005,"Ohio","145099.338","163521.957","-18422.619","88.734","-3.935","-17.974"
2005,"Oklahoma","20527.825","27211.847","-6684.022","75.437","-5.343","-27.224"
2005,"Oregon","54163.355","55629.413","-1466.058","97.365","-0.993","-4.524"
2005,"Pennsylvania","100472.293","123355.004","-22882.711","81.450","-4.530","-22.068"
2005,"Rhode Island","9174.089","14496.442","-5322.353","63.285","-11.762","-54.693"
2005,"South Carolina","30354.235","33614.091","-3259.856","90.302","-2.252","-9.796"
2005,"South Dakota","7195.312","8354.428","-1159.116","86.126","-3.674","-19.791"
2005,"Tennessee","35535.087","33780.190","1754.897","105.195","0.767","3.909"
2005,"Texas","165070.930","154040.916","11030.014","107.160","1.103","6.775"
2005,"Utah","18014.384","17445.654","568.730","103.260","0.599","2.965"
2005,"Vermont","2973.671","3474.409","-500.738","85.588","-2.132","-9.285"
2005,"Virginia","56521.645","59930.396","-3408.751","94.312","-0.950","-6.016"
2005,"Washington","56585.418","57917.253","-1331.835","97.700","-0.449","-2.316"
2005,"West Virginia","4914.217","10568.490","-5654.273","46.499","-10.602","-38.763"
2005,"Wisconsin","78755.047","58017.070","20737.977","135.745","9.137","42.994"
