01402000210000X21         599131311
01402000210000X30        8097131311
01402000210000X33           0131311
01402000210000X35           0131311
01402000210000X42           0131311
01402000210000X44        5279131311
01402000210000X46           0131311
01402000210000X47           0131311
01402000210000Z01           7131311
01402000210000Z02           1131311
01402000210000Z03           3131311
01402000210000Z04           0131311
01402000210000Z05           0131311
01402000210000Z13        1447131311
01402000210000Z14           0131311
01402000210000Z15           0131311
01402000210000Z16           0131311
01402000210000Z62        8097131311
01402000210000Z63        6325131311
01402000210000Z68           0131311
01402000210000Z70           0131311
01402000210000Z71           1131311
01402000210000Z72         112131311
01402000210000Z73         243131311
01402000210000Z77        6325131311
01402000210000Z78           0131311
01402000210000Z81       20300131311
01402000210000Z82           0131311
01402000210000Z83           0131311
01402000210000Z84        5279131311
01402000210000Z87         385131311
01402000210000Z88         214131311
01402000210000Z89           0131311
01402000210000Z91           01313NR
01402000210000Z93           0131311
01402000210000Z96        2260131311
02000000001605X02        4324131312
02000000001605X06      160920131312
02000000001605Z99       10884131312
02000000001605V87      150036131312
02000000001605Z98           01313NR
02000000001605Z76         529131312
02000000001605Z75        6879131312
02000000001605X01       49368131312
02000000001605X05       39573131312
02000000001605X08      4043941313NR
02000000001605X11      372145131312
02000000001605X12        2761131312
02000000001605X21       65350131312
02000000001605X30      3287511313NR
02000000001605X33           0131312
02000000001605X35           0131312
02000000001605X42           0131312
02000000001605X44      801452131312
02000000001605X46      495406131312
02000000001605X47      174731131312
02000000001605Z01        7408131312
02000000001605Z02         886131312
02000000001605Z03       10346131312
02000000001605Z04          87131312
02000000001605Z05         625131312
02000000001605Z13      348185131312
02000000001605Z14        2927131312
02000000001605Z15       21033131312
02000000001605Z16           0131312
02000000001605Z62           0131312
02000000001605Z63      114753131312
02000000001605Z68           0131312
02000000001605Z70      801452131312
02000000001605Z71       16929131312
02000000001605Z72       61977131312
02000000001605Z73          17131312
02000000001605Z77      114753131312
02000000001605Z78     1258560131312
02000000001605Z81     3239003131312
02000000001605Z82      670137131312
02000000001605Z83           0131312
02000000001605Z84           0131312
02000000001605Z87           0131312
02000000001605Z88       65350131312
02000000001605Z89      328751131312
02000000001605Z91           01313NR
02000000001605Z93       13333131312
02000000001605Z96      325471131312
02000000001608X02       63324131312
02000000001608X06      271455131312
02000000001608Z99      204452131312
02000000001608V87       67003131312
02000000001608Z98           01313NR
02000000001608Z76       104911313NR
02000000001608Z75       122391313NR
02000000001608X01       47485131312
02000000001608X05       72607131312
02000000001608X08      7649071313NR
02000000001608X11      599318131312
02000000001608X12       10929131312
02000000001608X21       53461131312
02000000001608X30      513224131312
02000000001608X33           01313NR
02000000001608X35           01313NR
02000000001608X42           01313NR
02000000001608X44      3688801313NR
02000000001608X46           0131312
02000000001608X47     34896541313NR
02000000001608Z01       22730131312
02000000001608Z02        6294131312
02000000001608Z03       26537131312
02000000001608Z04         252131312
02000000001608Z05        3057131312
02000000001608Z13      5680671313NR
02000000001608Z14       128381313NR
02000000001608Z15       184131313NR
02000000001608Z16           01313NR
02000000001608Z62           01313NR
02000000001608Z63      337471131312
02000000001608Z68           01313NR
02000000001608Z70      368880131312
02000000001608Z71       30058131312
02000000001608Z72       88470131312
02000000001608Z73           01313NR
02000000001608Z77      3374711313NR
02000000001608Z78     1919243131312
02000000001608Z81     6682601131312
02000000001608Z82     3490322131312
02000000001608Z83         668131312
02000000001608Z84           01313NR
02000000001608Z87           01313NR
02000000001608Z88       53461131312
02000000001608Z89      513224131312
02000000001608Z91           01313NR
02000000001608Z93        7120131312
02000000001608Z96      646379131312
02000000001609X02           01313NR
02000000001609X06         739131312
02000000001609Z99         7391313NR
02000000001609V87           01313NR
02000000001609Z98           01313NR
02000000001609Z76        4397131312
02000000001609Z75           01313NR
02000000001609X01           01313NR
02000000001609X05        18881313NR
02000000001609X08        28961313NR
02000000001609X11        17721313NR
02000000001609X12          311313NR
02000000001609X21        2009131312
02000000001609X30       100051313NR
02000000001609X33           01313NR
02000000001609X35           01313NR
02000000001609X42           01313NR
02000000001609X44       114481313NR
02000000001609X46           01313NR
02000000001609X47           01313NR
02000000001609Z01        4397131312
02000000001609Z02        1308131312
02000000001609Z03         608131312
02000000001609Z04           0131312
02000000001609Z05           0131312
02000000001609Z13        1772131312
02000000001609Z14           01313NR
02000000001609Z15           01313NR
02000000001609Z16           01313NR
02000000001609Z62           01313NR
02000000001609Z63        17191313NR
02000000001609Z68           01313NR
02000000001609Z70        9462131312
02000000001609Z71         4751313NR
02000000001609Z72         1701313NR
02000000001609Z73         4181313NR
02000000001609Z77        17191313NR
02000000001609Z78        8960131312
02000000001609Z81       34141131312
02000000001609Z82           01313NR
02000000001609Z83           01313NR
02000000001609Z84        19861313NR
02000000001609Z87           01313NR
02000000001609Z88        2009131312
02000000001609Z89       100051313NR
02000000001609Z91           01313NR
02000000001609Z93         166131312
02000000001609Z96        1833131312
02000000002000X02         719131312
02000000002000X06        5584131312
02000000002000Z99        5584131312
02000000002000V87           0131312
02000000002000Z98           01313NR
02000000002000Z76          72131312
02000000002000Z75           0131312
02000000002000X01           0131312
02000000002000X05           0131312
02000000002000X08       139341313NR
02000000002000X11       10139131312
02000000002000X12           0131312
02000000002000X21        1940131312
02000000002000X30       11453131312
02000000002000X33           0131312
02000000002000X35           0131312
02000000002000X42           0131312
02000000002000X44       27321131312
02000000002000X46       16892131312
02000000002000X47        1270131312
02000000002000Z01          72131312
02000000002000Z02           4131312
02000000002000Z03          84131312
02000000002000Z04           1131312
02000000002000Z05          16131312
02000000002000Z13        8433131312
02000000002000Z14         100131312
02000000002000Z15        1606131312
02000000002000Z16           0131312
02000000002000Z62           0131312
02000000002000Z63        3138131312
02000000002000Z68           0131312
02000000002000Z70       27321131312
02000000002000Z71         607131312
02000000002000Z72        2126131312
02000000002000Z73           0131312
02000000002000Z77        3138131312
02000000002000Z78       43680131312
02000000002000Z81      110380131312
02000000002000Z82       22848131312
02000000002000Z83        4686131312
02000000002000Z84           0131312
02000000002000Z87           0131312
02000000002000Z88        1940131312
02000000002000Z89       11453131312
02000000002000Z91           01313NR
02000000002000Z93          45131312
02000000002000Z96       11201131312
02100900410000X04         8591313NR
02100900410000X01           01313NR
02100900410000X05         1621313NR
02100900410000X08        12991313NR
02100900410000X11        11971313NR
02100900410000X12          821313NR
02100900410000X21         497131311
02100900410000X30           01313NR
02100900410000X33           01313NR
02100900410000X35           01313NR
02100900410000X42           01313NR
02100900410000X44           01313NR
