01206300210000X46           00909NR
01206300210000X47           00909NR
01206300210000Z01         4680909NR
01206300210000Z02           00909NR
01206300210000Z03         2140909NR
01206300210000Z04          170909NR
01206300210000Z05          730909NR
01206300210000Z06           00909NR
01206300210000Z07           00909NR
01206300210000Z08      5884650909NR
01206300210000Z09       265650909NR
01206300210000Z10       636290909NR
01206300210000Z11           00909NR
01206300210000Z12           00909NR
01206300210000Z13        94610909NR
01206300210000Z14         1790909NR
01206300210000Z15         2880909NR
01206300210000Z16         1460909NR
01206300210000Z62           00909NR
01206300210000Z63        60650909NR
01206300210000Z68           00909NR
01206300210000Z70           00909NR
01206300210000Z71        14320909NR
01206300210000Z72         4390909NR
01206300210000Z73           00909NR
01206300210000Z74           00909NR
01206300210000Z77        60650909NR
01206300210000Z78       201520909NR
01206300210000Z81       473590909NR
01206300210000Z82           00909NR
01206300210000Z83       104370909NR
01206300210000Z84           00909NR
01206300210000Z87           00909NR
01206300210000Z88        26380909NR
01206300210000Z89           00909NR
01206300210000Z90           00909NR
01206300210000Z91       143740909NR
01206300210000Z92           00909NR
01206300210000Z93         5350909NR
01206300210000Z95           00909NR
01206300210000Z96           00909NR
01206300210000Z97           00909NR
02000000001605X02        36180909HC
02000000001605X06      2113080909HC
02000000001605Z99       189160909HC
02000000001605V87      1923920909HC
02000000001605Z98           00909HC
02000000001605Z76         575090912
02000000001605Z75        7955090912
02000000001605V01           00909NR
02000000001605V02           00909NR
02000000001605V03           00909NR
02000000001605V04           00909NR
02000000001605V05           00909NR
02000000001605V07           00909NR
02000000001605X01       500420909HC
02000000001605X05       692760909HC
02000000001605X08     -9860120909AC
02000000001605X11      408719090912
02000000001605X12        36220909DC
02000000001605X21       184720909HC
02000000001605X30           00909HC
02000000001605X33           00909HC
02000000001605X35           00909HC
02000000001605X42           00909HC
02000000001605X44      7334480909AC
02000000001605X46      6439140909HC
02000000001605X47      1653790909AC
02000000001605Z01        85300909HC
02000000001605Z02         8730909HC
02000000001605Z03        9403090912
02000000001605Z04          78090912
02000000001605Z05         545090912
02000000001605Z06           0090912
02000000001605Z07           0090912
02000000001605Z08    31942840090912
02000000001605Z09      264194090912
02000000001605Z10     1852882090912
02000000001605Z11           0090912
02000000001605Z12           0090912
02000000001605Z13      383314090912
02000000001605Z14        3170090912
02000000001605Z15       22235090912
02000000001605Z16           0090912
02000000001605Z62           00909HC
02000000001605Z63      5834640909HC
02000000001605Z68           00909HC
02000000001605Z70      7334480909HC
02000000001605Z71       395130909HC
02000000001605Z72       949730909HC
02000000001605Z73           00909HC
02000000001605Z74           00909NR
02000000001605Z77      5834640909HC
02000000001605Z78     15676940909HC
02000000001605Z81     37123710909AC
02000000001605Z82      8092930909AC
02000000001605Z83           00909HC
02000000001605Z84           00909AC
02000000001605Z87           00909HC
02000000001605Z88       184720909HC
02000000001605Z89           00909HC
02000000001605Z90           00909HC
02000000001605Z91     11204980909DC
02000000001605Z92           00909NR
02000000001605Z93       163940909HC
02000000001605Z95           00909HC
02000000001605Z96           00909HC
02000000001605Z97           00909NR
02000000001608X02       544550909HC
02000000001608X06      2834420909AC
02000000001608Z99      2834420909AC
02000000001608V87           00909AC
02000000001608Z98           00909HC
02000000001608Z76       13165090912
02000000001608Z75       15685090912
02000000001608V01           00909NR
02000000001608V02           00909NR
02000000001608V03           00909NR
02000000001608V04           00909NR
02000000001608V05           00909NR
02000000001608V07           00909NR
02000000001608X01       648830909HC
02000000001608X05      3376980909AC
02000000001608X08    -22605470909AC
02000000001608X11      722493090912
02000000001608X12       124980909DC
02000000001608X21       374390909HC
02000000001608X30      8346290909AC
02000000001608X33      8066530909AC
02000000001608X35           00909HC
02000000001608X42           00909HC
02000000001608X44     16679810909AC
02000000001608X46     14744600909HC
02000000001608X47      3762960909AD
02000000001608Z01       288500909HC
02000000001608Z02        66270909HC
02000000001608Z03       21402090912
02000000001608Z04         503090912
02000000001608Z05        2177090912
02000000001608Z06           0090912
02000000001608Z07           0090912
02000000001608Z08    53507969090912
02000000001608Z09     1256444090912
02000000001608Z10     5443337090912
02000000001608Z11           0090912
02000000001608Z12           0090912
02000000001608Z13      642096090912
02000000001608Z14       15077090912
02000000001608Z15       65320090912
02000000001608Z16           0090912
02000000001608Z62           00909HC
02000000001608Z63      5492570909AD
02000000001608Z68           00909HC
02000000001608Z70     16679810909HC
02000000001608Z71       900590909HC
02000000001608Z72      1193380909HC
02000000001608Z73           00909HC
02000000001608Z74           00909NR
02000000001608Z77      5492570909AD
02000000001608Z78     35732750909HC
02000000001608Z81     85133370909AC
02000000001608Z82     18507560909AC
02000000001608Z83           00909HC
02000000001608Z84           00909AC
02000000001608Z87           00909HC
02000000001608Z88       374390909HC
02000000001608Z89       279760909AD
02000000001608Z90           00909HC
02000000001608Z91     24699440909DC
02000000001608Z92           00909NR
02000000001608Z93       385420909HC
02000000001608Z95           00909HC
02000000001608Z96           00909HC
02000000001608Z97           00909NR
02000000001609X02           00909HC
02000000001609X06        24730909HC
02000000001609Z99        24730909HC
02000000001609V87           00909HC
02000000001609Z98           00909HC
02000000001609Z76        3897090912
02000000001609Z75           0090912
02000000001609V01           00909NR
02000000001609V02           00909NR
02000000001609V03           00909NR
02000000001609V04           00909NR
02000000001609V05           00909NR
02000000001609V07           00909NR
02000000001609X01           00909HC
02000000001609X05           00909HC
02000000001609X08       -25210909AC
02000000001609X11        1535090912
02000000001609X12           00909DC
02000000001609X21           20909HC
02000000001609X30           00909HC
02000000001609X33           00909HC
02000000001609X35           00909HC
02000000001609X42           00909HC
02000000001609X44        31170909HC
02000000001609X46           00909HC
02000000001609X47           00909HC
02000000001609Z01        38970909HC
02000000001609Z02        11480909HC
02000000001609Z03         516090912
02000000001609Z04           0090912
02000000001609Z05           0090912
02000000001609Z06           0090912
02000000001609Z07           0090912
02000000001609Z08      127937090912
02000000001609Z09           0090912
02000000001609Z10           0090912
02000000001609Z11           0090912
02000000001609Z12           0090912
02000000001609Z13        1535090912
02000000001609Z14           0090912
02000000001609Z15           0090912
02000000001609Z16           0090912
02000000001609Z62           00909HC
02000000001609Z63       139540909HC
02000000001609Z68           00909HC
02000000001609Z70        31170909HC
02000000001609Z71         8020909HC
02000000001609Z72         2760909HC
02000000001609Z73           00909HC
02000000001609Z74           00909NR
02000000001609Z77       139540909HC
02000000001609Z78        84330909HC
02000000001609Z81       255060909AE
02000000001609Z82           00909HC
02000000001609Z83           00909HC
02000000001609Z84           00909HC
02000000001609Z87           00909HC
02000000001609Z88           20909HC
02000000001609Z89           00909HC
02000000001609Z90           00909HC
02000000001609Z91        3599090912
02000000001609Z92           00909NR
02000000001609Z93         1760909HC
02000000001609Z95           00909HC
02000000001609Z96           00909HC
02000000001609Z97           00909NR
02000000002000X02         5950909HC
02000000002000X06        49370909HC
02000000002000Z99        49370909HC
02000000002000V87           00909HC
02000000002000Z98           00909HC
