01200800110000Z77       25144080811
01200800110000Z78           00808NR
01200800110000Z81       272950808AD
01200800110000Z82        1839080811
01200800110000Z83           00808NR
01200800110000Z84           00808NR
01200800110000Z87           00808NR
01200800110000Z88         312080811
01200800110000Z89           00808NR
01200800110000Z90           00808NR
01200800110000Z91           00808NR
01200800110000Z92           00808NR
01200800110000Z93          75080811
01200800110000Z95           00808NR
01200800110000Z96        2912080811
01200800110000Z97           00808NR
01203700310000X04       12087080811
01203700310000V01           0080811
01203700310000V02           00808NR
01203700310000V03           00808NR
01203700310000V04           00808NR
01203700310000V05           00808NR
01203700310000V07           00808NR
01203700310000X01       10688080811
01203700310000X05           0080811
01203700310000X08      -311960808AC
01203700310000X11       55435080811
01203700310000X12        1335080811
01203700310000X21       32590080811
01203700310000X30      247754080811
01203700310000X33       81247080811
01203700310000X35           0080811
01203700310000X42           0080811
01203700310000X44           0080811
01203700310000X46           0080811
01203700310000X47           0080811
01203700310000Z01        3760080811
01203700310000Z02          40080811
01203700310000Z03        1661080811
01203700310000Z04         428080811
01203700310000Z05         483080811
01203700310000Z06          13080811
01203700310000Z07           0080811
01203700310000Z08     3473209080811
01203700310000Z09      747039080811
01203700310000Z10      399336080811
01203700310000Z11       86548080811
01203700310000Z12           0080811
01203700310000Z13       41679080811
01203700310000Z14        8964080811
01203700310000Z15        4792080811
01203700310000Z16           0080811
01203700310000Z62           0080811
01203700310000Z63      172317080811
01203700310000Z68       317310808AE
01203700310000Z70           0080811
01203700310000Z71       306710808AC
01203700310000Z72           0080811
01203700310000Z73           00808AC
01203700310000Z74           00808NR
01203700310000Z77      172317080811
01203700310000Z78      456841080811
01203700310000Z81      9095020808AE
01203700310000Z82           0080811
01203700310000Z83           0080811
01203700310000Z84           0080811
01203700310000Z87           0080811
01203700310000Z88         859080811
01203700310000Z89      166507080811
01203700310000Z90           0080811
01203700310000Z91       618670808AD
01203700310000Z92           00808NR
01203700310000Z93         242080811
01203700310000Z95           00808AE
01203700310000Z96           00808AC
01203700310000Z97           00808NR
01203700310100X04        3405080811
01203700310100V01           0080811
01203700310100V02           00808NR
01203700310100V03           00808NR
01203700310100V04           00808NR
01203700310100V05           00808NR
01203700310100V07           00808NR
01203700310100X01        3386080811
01203700310100X05           0080811
01203700310100X08         9510808AC
01203700310100X11        6399080811
01203700310100X12         222080811
01203700310100X21        2799080811
01203700310100X30       18447080811
01203700310100X33        8949080811
01203700310100X35           0080811
01203700310100X42           0080811
01203700310100X44           0080811
01203700310100X46           0080811
01203700310100X47           0080811
01203700310100Z01        1370080811
01203700310100Z02           8080811
01203700310100Z03         196080811
01203700310100Z04           0080811
01203700310100Z05          85080811
01203700310100Z06           5080811
01203700310100Z07           0080811
01203700310100Z08      365268080811
01203700310100Z09           0080811
01203700310100Z10       52057080811
01203700310100Z11       29114080811
01203700310100Z12           0080811
01203700310100Z13        5774080811
01203700310100Z14           0080811
01203700310100Z15         625080811
01203700310100Z16           0080811
01203700310100Z62           0080811
01203700310100Z63        9843080811
01203700310100Z68        14630808AE
01203700310100Z70           0080811
01203700310100Z71        1100080811
01203700310100Z72           0080811
01203700310100Z73          90080811
01203700310100Z74           00808NR
01203700310100Z77        9843080811
01203700310100Z78       10595080811
01203700310100Z81       416840808AE
01203700310100Z82           0080811
01203700310100Z83           0080811
01203700310100Z84           0080811
01203700310100Z87        1065080811
01203700310100Z88         271080811
01203700310100Z89        94980808AE
01203700310100Z90           0080811
01203700310100Z91         239080811
01203700310100Z92           00808NR
01203700310100Z93         950080811
01203700310100Z95           00808AE
01203700310100Z96           00808NR
01203700310100Z97           00808NR
01205100110000X04        7844080811
